item_id,item_feedback
c29,"Karten, mit denen ich wenig anfangen konnte"
c30,"Karten, mit denen ich wenig anfangen konnte"
c33,"Karten, mit denen ich wenig anfangen konnte"
c32,"Karten, mit denen ich wenig anfangen konnte"
c24,"Karten, mit denen ich wenig anfangen konnte"
c26,"Karten, mit denen ich wenig anfangen konnte"
c43,"Karten, mit denen ich wenig anfangen konnte"
c44,"Karten, mit denen ich wenig anfangen konnte"
c11,"Karten, mit denen ich wenig anfangen konnte"
c13,"Karten, mit denen ich wenig anfangen konnte"
c14,"Karten, mit denen ich wenig anfangen konnte"
c16,"Karten, mit denen ich wenig anfangen konnte"
c68,"Karten, mit denen ich wenig anfangen konnte"
c70,"Karten, mit denen ich wenig anfangen konnte"
c71,"Karten, mit denen ich wenig anfangen konnte"
c48,"Karten, mit denen ich wenig anfangen konnte"
c51,"Karten, mit denen ich wenig anfangen konnte"
c56,"Karten, mit denen ich wenig anfangen konnte"
