,,,,,,,c42,,,,,,,
,,,,,,c61,c19,c43,,,,,,
,,,,,c54,c45,c65,c11,c31,,,,,
,,,,,c24,c64,c30,c75,c48,,,,,
,,,,,c33,c55,c52,c16,c53,,,,,
,,,,c07,c44,c37,c12,c58,c23,c03,,,,
,,,,c77,c72,c27,c20,c32,c15,c26,,,,
,,,c34,c59,c66,c38,c63,c28,c69,c40,c39,,,
,,,c50,c02,c18,c08,c06,c21,c14,c04,c73,,,
,,c17,c05,c41,c10,c74,c76,c62,c47,c67,c68,c36,,
c51,c57,c70,c60,c56,c49,c09,c13,c35,c46,c01,c29,c25,c22,c71
-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7
Above is final consensus,,,,,,,,,,,,,,
Below is picture,,,,,,,,,,,,,,
,,,,,,,42,,,,,,,
,,,,,,61,19,43,,,,,,
,,,,,54,45,65,11,31,,,,,
,,,,,24,64,30,75,48,,,,,
,,,,,33,55,52,16,53,,,,,
,,,,07,44,37,12,58,23,03,,,,
,,,,77,72,27,20,32,15,26,,,,
,,,34,59,66,38,63,28,69,40,39,,,
,,,50,02,18,08,06,21,14,04,73,,,
,,17,05,41,10,74,76,62,47,67,68,36,,
51,57,70,60,56,49,09,13,35,46,01,29,25,22,71
-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7
Below is scan,,,,,,,,,,,,,,
,,,,,,,42,,,,,,,
,,,,,,61,19,43,,,,,,
,,,,,54,45,65,11,31,,,,,
,,,,,24,64,30,75,48,,,,,
,,,,,33,55,52,16,53,,,,,
,,,,07,44,37,12,58,23,03,,,,
,,,,77,72,27,20,32,15,26,,,,
,,,34,59,66,38,63,28,69,40,39,,,
,,,50,02,18,08,06,21,14,04,73,,,
,,17,05,41,10,74,76,62,47,67,68,36,,
51,57,70,60,56,49,09,13,35,46,01,29,25,22,71
-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7
